dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20121231,"1,000",58,0,2005,, ,16.83,6,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20130103,"7,000",20,0,2003,, ,25.04,7,136-7,(136-7),,,11410,서대문구,연희동, 
20130103,"7,000",20,0,2003,, ,26.03,4,136-7,(136-7),,,11410,서대문구,연희동, 
20130108,"5,000",50,0,2009,, ,25.35,3,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20130116,"4,000",210,0,2007,, ,116.97,2,340-27,현대싱그런,,,11410,서대문구,연희동, 
20130119,"13,800",0,0,2004,, ,30.24,13,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20130125,"1,000",70,0,2004,, ,28.08,6,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20130127,"2,500",42,0,2004,, ,19.81,4,103-6,라이온스톤,,,11410,서대문구,연희동, 
20130129,"4,500",0,0,2003,, ,17.34,5,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20130129,"9,500",20,0,2004,, ,28.5,15,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20130130,"14,000",0,0,2004,, ,28.5,13,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20130213,"14,000",0,0,2009,, ,25.35,7,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20130213,"3,000",40,0,2004,, ,19.04,4,188-3,(188-3),,,11410,서대문구,연희동, 
20130213,"1,000",55,0,2004,, ,19.25,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20130214,"1,000",78,0,2005,, ,26.64,13,27-20,신촌가이아,,,11410,서대문구,대현동, 
20130216,"7,500",0,0,2002,, ,21.06,3,122-3,정연 지오빌,,,11410,서대문구,연희동, 
20130218,"2,000",50,0,2005,, ,16.83,5,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20130221,500,40,0,2003,, ,17.34,2,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20130223,"7,000",0,0,2002,, ,20.39,5,121-4,오벨리스크,,,11410,서대문구,연희동, 
20130223,500,58,0,2005,, ,16.83,7,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20130225,"10,000",0,0,2004,13.03~14.03,신규,33.74,4,465,충정리시온,,,11410,서대문구,충정로3가, 
20130303,"1,000",50,0,2001,, ,16.2,9,212-2,연희소프트빌,,,11410,서대문구,연희동, 
20130307,"1,000",95,0,2005,, ,41.08,7,116,SK리쳄블,,,11410,서대문구,합동, 
