dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20240819,"45,000",0,0,제일아파트,2015,24.11~26.11,신규,80.11,7,470,,,11410,홍제동, 
20240819,"73,000",0,0,e편한세상신촌3단지,2018,24.10~26.10,신규,59.96,2,1013,,,11410,북아현동, 
20240819,"7,000",80,0,DMC한양,1987,24.10~26.10,신규,55.44,1,431,,,11410,북가좌동, 
20240819,"10,000",207,0,DMC래미안e편한세상,2012,24.11~26.11,갱신,84.95,12,481,"10,000",195,11410,북가좌동,사용
20240819,"20,000",0,0,홍제원현대(459-0),2000,24.08~26.08,신규,59.93,3,459,,,11410,홍제동, 
20240819,"45,500",40,0,DMC파크뷰자이2단지,2015,24.08~26.08,갱신,84.99,3,385,"43,500",40,11410,남가좌동, 
20240820,"33,000",0,0,유원하나,1996,24.10~26.10,갱신,58.77,8,454,"20,000",65,11410,홍제동, 
20240820,"70,000",0,0,DMC센트럴아이파크,2018,24.11~26.11,신규,84.95,18,388,,,11410,남가좌동, 
20240820,"59,500",0,0,힐스테이트홍은포레스트,2023,24.12~26.12,신규,72.79,9,470,,,11410,홍은동, 
20240820,"44,000",0,0,"현대(1,2차)",1988,24.09~26.09,갱신,84.77,4,202-5,"44,000",,11410,홍은동, 
20240820,"75,000",0,0,홍제센트럴IPARK,2020,24.10~26.10,신규,84.9728,14,473,,,11410,홍제동, 
20240820,"33,000",0,0,"현대(1,2차)",1988,24.12~26.12,신규,59.96,9,202-5,,,11410,홍은동, 
20240820,"31,000",40,0,신원,2002,24.09~26.09,신규,84.06,2,163-30,,,11410,연희동, 
20240820,"49,500",0,0,DMC래미안클라시스,2000,24.09~26.09,갱신,59.93,12,377,"51,000",,11410,남가좌동,사용
20240820,"64,000",0,0,에스케이뷰,2008,24.10~26.10,신규,59.956,3,118,,,11410,합동, 
20240820,"43,000",0,0,현대그린,1996,24.08~26.08,갱신,84.96,12,455,"34,100",,11410,홍제동, 
20240820,"59,850",0,0,홍은동벽산,1997,24.11~26.11,갱신,142.98,13,455,"59,850",,11410,홍은동, 
20240820,"56,000",12,0,DMC래미안e편한세상,2012,24.10~26.10,갱신,84.95,17,481,"56,000",,11410,북가좌동,사용
20240820,"65,000",0,0,남가좌동현대,1999,24.09~26.09,신규,114.9,11,376,,,11410,남가좌동, 
20240820,"75,000",0,0,에스케이뷰,2008,, ,84.98,15,118,,,11410,합동, 
20240820,"20,000",165,0,e편한세상홍제가든플라츠,2023,24.11~26.11,신규,84.994,13,469,,,11410,홍은동, 
20240820,"74,000",0,0,DMC파크뷰자이2단지,2015,24.10~26.10,신규,84.968,16,385,,,11410,남가좌동, 
20240820,"3,399",0,0,홍제원현대(459-1),2000,24.08~26.08,갱신,32.67,4,459-1,"3,237",,11410,홍제동, 
20240820,"65,000",0,0,에스케이뷰,2008,, ,84.909,20,118,,,11410,합동, 
20240820,"75,000",0,0,에스케이뷰,2008,24.10~26.10,신규,84.98,15,118,,,11410,합동, 
20240820,"55,125",0,0,독립문극동(200-0),1998,24.10~26.10,갱신,84.87,4,200,"52,500",,11410,현저동, 
20240820,"27,500",0,0,극동,1995,24.08~26.08,갱신,84.92,5,454,"24,500",,11410,홍은동, 
20240820,"65,000",0,0,에스케이뷰,2008,24.08~26.08,갱신,84.909,20,118,"63,000",,11410,합동, 
20240821,"63,000",0,0,힐스테이트신촌,2020,, ,52.8449,19,1017,,,11410,북아현동, 
