dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20120109,"9,000",0,0,2003,, ,26.32,7,136-7,(136-7),,,11410,서대문구,연희동, 
20120110,"10,000",0,0,2006,, ,22.61,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120118,"4,000",37,0,2004,, ,22.54,6,103-6,라이온스톤,,,11410,서대문구,연희동, 
20120118,"1,000",50,0,2002,, ,25.73,4,76-24,(76-24),,,11410,서대문구,연희동, 
20120118,"1,000",50,0,2002,, ,19.61,4,62-48,(62-48),,,11410,서대문구,창천동, 
20120119,"7,000",25,0,2006,, ,19.4,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120121,"2,000",60,0,2004,, ,19.38,5,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120125,"2,500",40,0,2004,, ,22.11,8,490,홍익사랑,,,11410,서대문구,창천동, 
20120128,"8,700",13,0,2006,, ,19.4,5,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120130,"2,000",60,0,2004,, ,20.52,5,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120130,"2,000",60,0,2004,, ,19.38,5,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120130,"5,000",25,0,2003,12.02~14.02,신규,18.9,6,188-57,(188-57),,,11410,서대문구,연희동, 
20120130,"2,000",70,0,2006,, ,26.15,5,90-1,(90-1),,,11410,서대문구,대신동, 
20120130,"4,500",10,0,2003,, ,21.42,3,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20120130,"1,500",60,0,2004,, ,19.26,4,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120131,"3,000",43,0,2004,, ,17.16,6,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120202,"1,000",58,0,2005,, ,16.83,8,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20120203,"14,000",0,0,2009,, ,25.35,11,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120204,"3,000",50,0,2004,, ,24.525,15,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20120204,"2,000",70,0,2006,, ,26.15,4,90-1,(90-1),,,11410,서대문구,대신동, 
20120204,"17,000",0,0,2007,, ,86.17,5,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120204,"9,500",12,0,2004,, ,28.5,15,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20120206,"5,000",0,0,2003,, ,24.48,1,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20120206,"2,000",90,0,2006,, ,39.73,4,90-1,(90-1),,,11410,서대문구,대신동, 
20120206,"3,000",40,0,2004,, ,19.38,3,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120207,"1,000",70,0,2009,, ,25.35,7,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120208,"2,000",75,0,2006,, ,29.65,5,90-1,(90-1),,,11410,서대문구,대신동, 
20120210,"25,000",0,0,2007,, ,114.15,3,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120211,"3,000",20,0,2002,, ,14.11,6,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20120213,"7,000",0,0,2004,, ,20.52,7,188-3,(188-3),,,11410,서대문구,연희동, 
20120213,"1,000",65,0,2004,, ,19.89,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120216,"9,000",0,0,2003,, ,26.03,3,136-7,(136-7),,,11410,서대문구,연희동, 
20120217,"9,500",0,0,2003,, ,26.32,6,136-7,(136-7),,,11410,서대문구,연희동, 
20120220,"1,000",55,0,2004,, ,17.6,4,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120221,"24,000",0,0,2007,, ,115.53,10,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120222,"7,500",0,0,2003,, ,19.42,6,188-57,(188-57),,,11410,서대문구,연희동, 
20120222,500,38,0,2003,, ,17.34,2,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20120222,"8,000",0,0,2004,, ,20.52,1,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120224,"10,000",0,0,2006,, ,22.61,9,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120224,"10,500",0,0,2006,, ,22.61,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120225,"5,000",50,0,2004,, ,27.31,2,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20120229,"9,500",0,0,2006,, ,19.4,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120301,"9,000",0,0,2006,, ,19.4,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120303,"3,000",40,0,2004,, ,19.95,7,188-3,(188-3),,,11410,서대문구,연희동, 
20120306,"33,000",0,0,2007,, ,115.53,8,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120307,"5,000",20,0,2003,, ,19.42,2,188-57,(188-57),,,11410,서대문구,연희동, 
